epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,2350.38,0.69909,0.55058,0.9056,0.73898,0.61891,0.64814,0.36491,1.06482,0.57586,1.07943,0.00106025,0.00106025,0.00106025
25,2436.64,0.67301,0.52558,0.89806,0.78274,0.57459,0.62822,0.3821,1.02775,0.56899,1.07071,0.001052,0.001052,0.001052
26,2535.28,0.67807,0.53633,0.89988,0.77476,0.56396,0.61368,0.38696,1.04081,0.62693,1.05155,0.00104375,0.00104375,0.00104375
27,2623.47,0.69638,0.53522,0.90763,0.68797,0.64883,0.62702,0.38838,1.00647,0.58352,1.04909,0.0010355,0.0010355,0.0010355
28,2736.41,0.68476,0.53599,0.90219,0.46987,0.65594,0.57427,0.34882,1.03958,0.58981,1.06029,0.00102725,0.00102725,0.00102725
29,2830.71,0.68929,0.522,0.90459,0.66526,0.50053,0.58515,0.35727,0.99365,0.54835,1.0695,0.001019,0.001019,0.001019
30,2914.5,0.66478,0.51261,0.90173,0.70423,0.59528,0.5958,0.35542,1.09243,0.65133,1.07667,0.00101075,0.00101075,0.00101075
31,3010.05,0.68235,0.51601,0.89946,0.75003,0.65624,0.68881,0.40439,0.99952,0.57359,1.04057,0.0010025,0.0010025,0.0010025
32,3102.59,0.66664,0.49535,0.8933,0.6706,0.55906,0.59271,0.35585,1.00884,0.56703,1.047,0.00099425,0.00099425,0.00099425
33,3189.5,0.66814,0.50783,0.89326,0.65755,0.70655,0.65089,0.38922,1.03054,0.60503,1.05492,0.000986,0.000986,0.000986
34,3281.77,0.6643,0.50016,0.8904,0.69994,0.72917,0.71186,0.44678,1.01706,0.54623,1.02944,0.00097775,0.00097775,0.00097775
35,3370.23,0.65417,0.49367,0.89406,0.57903,0.71078,0.65141,0.39546,1.04251,0.54161,1.0493,0.0009695,0.0009695,0.0009695
36,3454.76,0.66369,0.48662,0.89648,0.76162,0.66672,0.72259,0.44441,1.00681,0.55493,1.03474,0.00096125,0.00096125,0.00096125
37,3556.67,0.67026,0.49695,0.89385,0.73919,0.66844,0.72803,0.45134,1.05056,0.5901,1.06537,0.000953,0.000953,0.000953
38,3655.84,0.64364,0.48436,0.88965,0.66952,0.63311,0.61231,0.36447,1.05075,0.59825,1.07033,0.00094475,0.00094475,0.00094475
39,3743.29,0.65002,0.49061,0.89778,0.56474,0.63646,0.57529,0.34203,1.03212,0.57081,1.05405,0.0009365,0.0009365,0.0009365
40,3842.53,0.63137,0.48061,0.88552,0.61384,0.65778,0.65635,0.38945,1.02227,0.57662,1.05029,0.00092825,0.00092825,0.00092825
41,3923.4,0.64312,0.47654,0.88631,0.77149,0.70309,0.76119,0.45259,0.99467,0.55084,1.02995,0.00092,0.00092,0.00092
42,4020.12,0.64812,0.47473,0.8929,0.73364,0.64126,0.65831,0.42454,1.03622,0.57882,1.06387,0.00091175,0.00091175,0.00091175
43,4127.55,0.61283,0.4596,0.88212,0.7102,0.76517,0.75026,0.45556,0.98656,0.55608,1.01977,0.0009035,0.0009035,0.0009035
44,4240.8,0.62349,0.45373,0.87825,0.56116,0.71588,0.68101,0.40075,1.00804,0.58211,1.03948,0.00089525,0.00089525,0.00089525
