epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,457.431,0.65225,0.4802,0.87814,0.76116,0.69792,0.8054,0.48734,1.08388,0.52726,1.07635,0.00108088,0.00108088,0.00108088
43,468.581,0.63392,0.48339,0.87003,0.82945,0.67158,0.73337,0.4279,1.0502,0.49668,1.04077,0.00107675,0.00107675,0.00107675
44,480.137,0.62087,0.47296,0.87273,0.85776,0.7107,0.77872,0.48459,1.0644,0.46048,1.08112,0.00107263,0.00107263,0.00107263
45,491.608,0.63201,0.47071,0.87545,0.77013,0.65513,0.82016,0.49605,1.01256,0.48086,1.03418,0.0010685,0.0010685,0.0010685
46,502.876,0.63308,0.48118,0.87681,0.73764,0.73561,0.75074,0.46398,1.0131,0.49353,1.01024,0.00106437,0.00106437,0.00106437
47,514.183,0.63745,0.47594,0.87543,0.67876,0.74503,0.74991,0.45216,1.02128,0.49557,1.0635,0.00106025,0.00106025,0.00106025
48,525.124,0.61352,0.46158,0.86786,0.75996,0.72842,0.77263,0.46424,1.07691,0.49267,1.05901,0.00105612,0.00105612,0.00105612
49,536.475,0.64812,0.47051,0.87555,0.61249,0.68657,0.73275,0.47775,1.12252,0.49361,1.08181,0.001052,0.001052,0.001052
50,548.056,0.61207,0.46028,0.87157,0.6911,0.76763,0.73878,0.45194,1.0622,0.47832,1.05022,0.00104787,0.00104787,0.00104787
51,559.702,0.61726,0.46938,0.86853,0.81672,0.74947,0.7893,0.47817,1.04579,0.48161,1.04796,0.00104375,0.00104375,0.00104375
52,571.056,0.63004,0.46705,0.87228,0.67239,0.67102,0.68352,0.43129,1.10789,0.49463,1.09878,0.00103962,0.00103962,0.00103962
53,582.55,0.6028,0.48331,0.86727,0.69692,0.76593,0.7898,0.50764,1.01248,0.47197,1.02772,0.0010355,0.0010355,0.0010355
54,593.537,0.60271,0.45174,0.8657,0.81026,0.76665,0.80288,0.50128,1.02937,0.46628,1.04418,0.00103138,0.00103138,0.00103138
55,604.617,0.60179,0.44646,0.86869,0.8029,0.72163,0.74623,0.47759,1.03762,0.48576,1.04133,0.00102725,0.00102725,0.00102725
56,616.072,0.59175,0.45073,0.86164,0.8863,0.65375,0.78511,0.50179,1.08543,0.47949,1.06001,0.00102312,0.00102312,0.00102312
57,627.683,0.60513,0.45693,0.86827,0.70239,0.75959,0.74313,0.45963,1.06228,0.48497,1.05638,0.001019,0.001019,0.001019
58,639.152,0.60893,0.44589,0.86563,0.76677,0.71247,0.75952,0.47318,1.07137,0.51258,1.06726,0.00101488,0.00101488,0.00101488
59,650.47,0.60546,0.44575,0.86576,0.73792,0.81557,0.80482,0.50435,1.08109,0.48938,1.06,0.00101075,0.00101075,0.00101075
60,661.294,0.61054,0.44155,0.87196,0.77863,0.7356,0.82438,0.48908,1.05589,0.46204,1.04912,0.00100663,0.00100663,0.00100663
61,672.245,0.60676,0.44087,0.86432,0.72602,0.82165,0.84814,0.49806,1.05646,0.46563,1.05316,0.0010025,0.0010025,0.0010025
62,683.065,0.59335,0.43628,0.86074,0.82018,0.68418,0.8023,0.49809,1.06468,0.47413,1.08836,0.000998375,0.000998375,0.000998375
63,694.807,0.58612,0.42655,0.85886,0.91599,0.6855,0.78332,0.49792,1.06818,0.47721,1.04237,0.00099425,0.00099425,0.00099425
64,706.397,0.59016,0.44692,0.86236,0.77462,0.76207,0.80993,0.48564,1.07952,0.47967,1.07845,0.000990125,0.000990125,0.000990125
65,717.881,0.58011,0.43751,0.86179,0.73853,0.72761,0.77041,0.46166,1.06647,0.47188,1.06665,0.000986,0.000986,0.000986
66,728.928,0.58381,0.43235,0.86933,0.7253,0.78097,0.76001,0.47601,1.08571,0.48374,1.05742,0.000981875,0.000981875,0.000981875
67,740.47,0.5828,0.43107,0.86076,0.89762,0.72804,0.80862,0.51631,1.08584,0.47673,1.08408,0.00097775,0.00097775,0.00097775
68,752.044,0.58624,0.43113,0.86084,0.90863,0.67111,0.80174,0.49936,1.06119,0.47949,1.05492,0.000973625,0.000973625,0.000973625
69,763.843,0.59434,0.42738,0.85907,0.84427,0.68369,0.81761,0.49887,1.09482,0.47936,1.10144,0.0009695,0.0009695,0.0009695
70,775.113,0.59011,0.4231,0.86262,0.9109,0.66909,0.81101,0.50051,1.06077,0.49164,1.07168,0.000965375,0.000965375,0.000965375
71,786.517,0.56651,0.41849,0.85308,0.61457,0.79691,0.78183,0.4836,1.03725,0.4683,1.04171,0.00096125,0.00096125,0.00096125
72,797.859,0.60111,0.41314,0.85805,0.84364,0.71545,0.78428,0.48869,1.06896,0.45204,1.05767,0.000957125,0.000957125,0.000957125
73,808.534,0.58212,0.42767,0.85363,0.74841,0.78606,0.76582,0.46553,1.08778,0.48913,1.08446,0.000953,0.000953,0.000953
74,819.491,0.55715,0.41129,0.84859,0.82263,0.66629,0.7751,0.44156,1.03832,0.48901,1.05579,0.000948875,0.000948875,0.000948875
